Applicant_ID,Age,Marital_Status,Dependents,Education,Employment_Type,Income,Credit_Score,Loan_Amount,Loan_Term,Existing_Debts,Property_Area,Default
LN1033,29,Married,0.0,Graduate,Salaried,43000.0,618.0,541000,36,,Urban,0
LN1034,43,Divorced,0.0,Graduate,Salaried,26500.0,662.0,485000,60,3300.0,Semiurban,0
LN1035,48,Married,1.0,Graduate,Self-Employed,70500.0,739.0,627000,24,26200.0,Rural,0
LN1036,36,Married,3.0,Not Graduate,Salaried,54000.0,734.0,333000,84,3300.0,Semiurban,0
LN1037,29,Married,3.0,Graduate,Salaried,75000.0,553.0,1018000,240,8300.0,Urban,1
LN1038,29,Divorced,1.0,Graduate,Business,33000.0,615.0,468000,60,17400.0,Semiurban,1
LN1039,44,Married,1.0,Graduate,Salaried,91500.0,818.0,1090000,36,29400.0,Urban,0
LN1040,44,Single,2.0,Graduate,Salaried,179500.0,749.0,3835000,60,31900.0,Semiurban,0
LN1041,42,Married,3.0,Not Graduate,Salaried,54500.0,609.0,485000,180,13000.0,Rural,0
LN1042,30,Divorced,0.0,Not Graduate,Salaried,45000.0,877.0,715000,84,8400.0,Semiurban,0
LN1043,39,,1.0,Graduate,Self-Employed,64000.0,696.0,922000,24,22000.0,Semiurban,1
LN1044,38,Married,2.0,Graduate,Salaried,167500.0,765.0,781000,84,19400.0,Urban,0
LN1045,39,Divorced,0.0,Graduate,Salaried,39000.0,,237000,60,4200.0,Semiurban,0
LN1046,46,Married,1.0,Graduate,Unemployed,24000.0,585.0,338000,60,3600.0,Rural,1
LN1047,39,Married,3.0,Not Graduate,Business,38000.0,632.0,984000,24,13600.0,Semiurban,1
LN1048,44,Single,3.0,Graduate,Self-Employed,44500.0,853.0,778000,360,3300.0,Semiurban,0
LN1049,38,Married,3.0,Graduate,Business,67500.0,773.0,246000,36,22400.0,Urban,0
LN1050,40,Married,2.0,Graduate,Business,134500.0,777.0,269000,36,27500.0,Urban,0
LN1051,43,Married,0.0,Not Graduate,Salaried,126000.0,777.0,2318000,36,16600.0,Urban,0
LN1052,22,Married,0.0,Graduate,Self-Employed,57000.0,605.0,765000,84,21400.0,Urban,1
LN1053,34,Single,1.0,Graduate,Self-Employed,43500.0,780.0,907000,60,4600.0,Urban,0
LN1054,32,Single,1.0,Graduate,Salaried,196500.0,671.0,1713000,36,70300.0,Rural,1
LN1055,31,Married,1.0,Graduate,Salaried,48000.0,723.0,773000,60,13300.0,Semiurban,0
LN1056,34,Married,,Graduate,Salaried,46000.0,581.0,878000,120,8400.0,Urban,1
LN1057,52,Married,1.0,Graduate,Self-Employed,26500.0,537.0,300000,36,15500.0,Urban,1
LN1058,28,Single,2.0,Graduate,Business,121500.0,726.0,1390000,240,9400.0,Urban,0
LN1059,47,Divorced,0.0,Graduate,Self-Employed,94500.0,653.0,1337000,60,11700.0,Rural,0
LN1060,21,Divorced,0.0,Graduate,Salaried,167500.0,571.0,2890000,36,46600.0,Semiurban,1
LN1061,34,Married,0.0,Graduate,Salaried,31000.0,736.0,431000,360,12000.0,Rural,0
LN1062,39,Married,,Not Graduate,Salaried,103000.0,885.0,2044000,180,49500.0,Rural,0
LN1063,43,Married,2.0,Not Graduate,Salaried,55000.0,820.0,618000,60,19800.0,Urban,0
LN1064,44,Married,1.0,Graduate,Business,107500.0,694.0,648000,180,32100.0,Semiurban,1
LN1065,45,Married,0.0,Graduate,Business,33500.0,690.0,866000,60,14200.0,Rural,0
LN1066,34,Single,2.0,Not Graduate,Business,107000.0,771.0,1110000,60,5600.0,Semiurban,0
LN1067,32,Married,1.0,Graduate,Business,94500.0,784.0,1001000,180,10000.0,Urban,0
LN1068,46,Married,0.0,Graduate,Unemployed,,584.0,293000,120,1500.0,Rural,0
LN1069,35,Married,0.0,Not Graduate,Salaried,67000.0,716.0,965000,36,14200.0,Rural,1
LN1070,24,Married,0.0,Graduate,Salaried,,713.0,438000,84,10800.0,Semiurban,0
LN1071,26,Married,1.0,Not Graduate,Salaried,33500.0,731.0,465000,60,3000.0,Semiurban,0
LN1072,28,Married,0.0,Graduate,Salaried,45500.0,688.0,626000,12,13000.0,Urban,1
LN1073,42,Single,0.0,Graduate,Salaried,27000.0,690.0,406000,360,5600.0,Rural,0
LN1074,38,Married,0.0,Graduate,Salaried,95500.0,827.0,191000,84,18200.0,Semiurban,0
LN1075,44,Married,1.0,Graduate,Unemployed,38000.0,711.0,961000,84,8700.0,Urban,0
LN1076,33,Married,0.0,Graduate,Salaried,43000.0,737.0,564000,84,8500.0,Semiurban,0
LN1077,39,Single,2.0,Graduate,Unemployed,24000.0,735.0,420000,84,4400.0,Rural,0
LN1078,43,Married,0.0,Not Graduate,Self-Employed,40500.0,662.0,232000,36,2400.0,Rural,0
LN1079,34,Single,1.0,Graduate,Self-Employed,61500.0,814.0,687000,360,5200.0,Urban,0
LN1080,42,Divorced,1.0,Graduate,Self-Employed,42000.0,732.0,419000,84,2400.0,Urban,0
LN1081,30,Single,1.0,Not Graduate,Salaried,30500.0,900.0,696000,120,3600.0,Rural,0
LN1082,33,Single,0.0,Not Graduate,Self-Employed,69000.0,604.0,723000,60,21300.0,Rural,1
LN1083,33,Married,2.0,Graduate,Salaried,58000.0,656.0,1076000,36,5600.0,Semiurban,0
LN1084,25,Divorced,3.0,Graduate,Business,158500.0,736.0,1600000,24,23900.0,Semiurban,1
LN1085,42,Married,0.0,Not Graduate,Salaried,54000.0,744.0,609000,60,13400.0,Semiurban,0
LN1086,32,Divorced,0.0,Graduate,Salaried,38000.0,844.0,476000,36,7700.0,Semiurban,0
LN1087,37,Married,3.0,Not Graduate,Self-Employed,78000.0,650.0,1693000,120,10900.0,Urban,0
LN1088,42,Married,1.0,Not Graduate,Self-Employed,61500.0,767.0,164000,240,16600.0,Urban,0
LN1089,41,Married,0.0,Not Graduate,Salaried,74000.0,808.0,452000,60,18300.0,Urban,0
LN1090,44,Single,0.0,Graduate,Self-Employed,102500.0,765.0,237000,60,34800.0,Rural,0
LN1091,36,Married,1.0,Graduate,Salaried,45500.0,633.0,340000,120,,Urban,0
LN1092,33,Married,2.0,Graduate,Self-Employed,49000.0,792.0,447000,36,6000.0,Urban,0
LN1093,36,Single,,Graduate,Salaried,57000.0,803.0,246000,240,11900.0,Semiurban,0
LN1094,21,Single,3.0,Not Graduate,Salaried,22500.0,721.0,216000,60,2700.0,Urban,0
LN1095,23,Married,1.0,Graduate,Salaried,47500.0,710.0,95000,24,1100.0,Urban,0
LN1096,24,Married,0.0,Graduate,Salaried,103500.0,730.0,817000,36,26300.0,Semiurban,0
LN1097,27,Married,1.0,Graduate,Salaried,63000.0,699.0,1336000,240,26400.0,Urban,0
LN1098,41,Single,0.0,Not Graduate,Salaried,27500.0,747.0,452000,36,4300.0,Semiurban,0
LN1099,28,Married,0.0,Graduate,Salaried,27000.0,689.0,408000,120,5000.0,Rural,0
LN1100,33,Single,,Graduate,Salaried,133500.0,663.0,1066000,36,17200.0,Urban,0
LN1101,50,Married,0.0,Graduate,Salaried,68000.0,648.0,325000,36,26900.0,Rural,0
LN1102,33,Married,2.0,Graduate,Salaried,44000.0,646.0,315000,240,1700.0,Rural,0
LN1103,44,Married,0.0,Graduate,Self-Employed,50500.0,714.0,694000,36,,Rural,0
LN1104,28,Married,1.0,Graduate,Unemployed,9000.0,573.0,173000,12,3200.0,Semiurban,1
LN1105,35,Single,1.0,Graduate,Salaried,121500.0,742.0,2359000,60,23500.0,Semiurban,0
LN1106,27,Married,1.0,Graduate,,,719.0,907000,180,6800.0,Semiurban,0
LN1107,34,Married,2.0,Graduate,Salaried,117000.0,677.0,1120000,60,37600.0,Semiurban,0
LN1108,45,Divorced,2.0,Graduate,Salaried,69500.0,833.0,983000,24,21300.0,Urban,0
LN1109,21,Divorced,2.0,Graduate,Self-Employed,90000.0,669.0,1086000,360,,Rural,0
LN1110,41,,0.0,Graduate,Self-Employed,63500.0,667.0,812000,120,3300.0,Semiurban,0
LN1111,39,Married,1.0,Graduate,Business,105000.0,745.0,2753000,180,46800.0,Rural,1
LN1112,31,Single,1.0,Graduate,Salaried,83000.0,576.0,285000,120,14000.0,Urban,0
LN1113,23,Single,0.0,Graduate,Business,79000.0,629.0,995000,120,19300.0,Urban,0
LN1114,38,Married,0.0,Graduate,Salaried,74500.0,792.0,1585000,60,2800.0,Semiurban,0
LN1115,32,Married,0.0,Graduate,Salaried,53000.0,575.0,276000,60,2300.0,Semiurban,0
LN1116,39,Single,1.0,Graduate,Salaried,160000.0,820.0,1622000,120,,Semiurban,0
LN1117,37,Married,1.0,Not Graduate,Unemployed,10500.0,699.0,114000,120,2600.0,Urban,0
LN1118,53,Married,0.0,Graduate,Salaried,73000.0,703.0,924000,360,26500.0,Urban,0
LN1119,35,Divorced,2.0,Graduate,Business,67500.0,717.0,299000,84,3000.0,Semiurban,0
LN1120,27,Single,3.0,Graduate,Self-Employed,59000.0,769.0,1037000,36,11800.0,Urban,1
LN1121,39,Married,0.0,Graduate,Self-Employed,45000.0,655.0,810000,60,,Rural,0
LN1122,39,Married,3.0,Graduate,Self-Employed,64000.0,763.0,1091000,84,1800.0,Urban,0
LN1123,51,Married,0.0,Not Graduate,Business,57500.0,656.0,505000,60,24900.0,Urban,0
LN1124,45,Married,3.0,Not Graduate,Salaried,25500.0,665.0,370000,180,3500.0,Urban,0
LN1125,41,Single,3.0,Graduate,Salaried,65500.0,658.0,564000,84,28300.0,Semiurban,1
LN1126,52,,0.0,Graduate,Self-Employed,36500.0,723.0,438000,12,5500.0,Semiurban,0
LN1127,25,Married,2.0,Graduate,Salaried,24000.0,768.0,646000,84,5900.0,Semiurban,0
LN1128,31,Married,3.0,Graduate,Salaried,63000.0,694.0,918000,84,11900.0,Rural,0
LN1129,28,Single,3.0,Graduate,Salaried,72000.0,613.0,495000,240,8700.0,Urban,0
LN1130,33,Married,3.0,Graduate,Salaried,77500.0,633.0,1169000,60,8400.0,Semiurban,0
LN1131,23,Married,1.0,Graduate,Salaried,70500.0,733.0,415000,84,10900.0,Urban,0
LN1132,43,Married,0.0,Not Graduate,Salaried,21000.0,833.0,143000,60,,Urban,0
LN1133,35,Single,2.0,Graduate,Business,,710.0,271000,84,13200.0,Semiurban,0
LN1134,22,Married,1.0,Graduate,Salaried,137000.0,688.0,1553000,24,22300.0,Urban,0
LN1135,27,Single,1.0,Graduate,Unemployed,11000.0,636.0,216000,240,4900.0,Semiurban,1
LN1136,40,Married,1.0,Graduate,Unemployed,27500.0,592.0,480000,240,9900.0,Semiurban,0
LN1137,45,Single,1.0,Graduate,Salaried,48500.0,,831000,84,10600.0,Rural,0
LN1138,57,Married,0.0,Graduate,Self-Employed,67500.0,643.0,500000,84,12500.0,Semiurban,1
LN1139,65,Married,2.0,Not Graduate,Self-Employed,41000.0,817.0,441000,24,11400.0,Semiurban,0
LN1140,41,Married,0.0,Graduate,Self-Employed,73500.0,512.0,1149000,84,5700.0,Semiurban,1
LN1141,27,Married,2.0,Graduate,Salaried,,763.0,614000,60,4600.0,Urban,0
LN1142,21,Married,2.0,Graduate,Salaried,42500.0,656.0,524000,120,6900.0,Urban,0
LN1143,40,Married,1.0,Graduate,Salaried,39000.0,675.0,649000,12,6900.0,Semiurban,1
LN1144,29,Married,1.0,Graduate,Self-Employed,56500.0,813.0,673000,120,14000.0,Rural,0
LN1145,33,Married,0.0,Graduate,Unemployed,10500.0,,161000,36,1600.0,Urban,1
LN1146,31,Divorced,,Graduate,Self-Employed,62500.0,639.0,1472000,120,26400.0,Semiurban,1
LN1147,36,Married,,Graduate,Self-Employed,188500.0,709.0,2445000,84,12400.0,Rural,0
LN1148,48,Single,0.0,Not Graduate,Unemployed,34000.0,653.0,717000,36,8400.0,Rural,1
LN1149,39,Divorced,0.0,Graduate,Self-Employed,78000.0,669.0,1354000,60,12800.0,Semiurban,1
LN1150,35,Married,0.0,Not Graduate,Salaried,47000.0,587.0,244000,180,17700.0,Semiurban,0
LN1151,27,Single,1.0,Graduate,Business,24000.0,600.0,177000,84,11500.0,Semiurban,1
LN1152,21,Single,3.0,Graduate,Salaried,28000.0,777.0,252000,24,2300.0,Rural,0
LN1153,32,Single,2.0,Not Graduate,Salaried,88000.0,722.0,781000,60,,Urban,0
LN1154,36,Married,0.0,Not Graduate,Salaried,34000.0,733.0,458000,60,4900.0,Rural,1
LN1155,55,Married,2.0,Graduate,Business,57500.0,690.0,1017000,84,11900.0,Urban,0
LN1156,38,Married,0.0,Not Graduate,Salaried,46500.0,658.0,1001000,84,4500.0,Rural,0
LN1157,47,Married,2.0,Graduate,Salaried,41500.0,839.0,658000,12,5800.0,Urban,0
LN1158,32,Divorced,0.0,Graduate,Salaried,33000.0,681.0,374000,84,5700.0,Urban,0
LN1159,25,Divorced,1.0,Not Graduate,Salaried,43000.0,661.0,86000,120,15900.0,Urban,0
LN1160,27,Married,3.0,Graduate,Salaried,36500.0,775.0,526000,120,2600.0,Semiurban,0
LN1161,30,Single,0.0,Not Graduate,Self-Employed,28000.0,617.0,396000,24,3200.0,Urban,1
LN1162,58,Married,2.0,Graduate,,57000.0,668.0,861000,60,5800.0,Urban,0
LN1163,29,Single,3.0,Not Graduate,Salaried,59000.0,706.0,1572000,60,12900.0,Semiurban,0
LN1164,45,Married,0.0,Graduate,Salaried,60500.0,720.0,1297000,36,21300.0,Semiurban,0
LN1165,28,Divorced,0.0,Graduate,Salaried,52000.0,721.0,973000,60,,Rural,0
LN1166,46,Single,1.0,Graduate,Salaried,91000.0,887.0,749000,24,12200.0,Rural,0
LN1167,41,Married,0.0,Graduate,Self-Employed,52500.0,720.0,573000,24,3400.0,Semiurban,0
LN1168,35,Married,0.0,Graduate,Self-Employed,46500.0,509.0,625000,120,10300.0,Urban,1
LN1169,37,Single,1.0,Graduate,Self-Employed,67500.0,722.0,631000,36,9600.0,Urban,0
LN1170,30,Married,2.0,Graduate,Salaried,80000.0,715.0,1360000,120,8900.0,Rural,0
LN1171,41,Married,0.0,Graduate,Self-Employed,52500.0,698.0,847000,12,7600.0,Urban,1
LN1172,32,Single,0.0,Graduate,Salaried,62000.0,727.0,463000,84,7000.0,Semiurban,0
LN1173,25,Married,2.0,Not Graduate,Salaried,30000.0,684.0,635000,60,2900.0,Rural,0
LN1174,24,Married,1.0,Graduate,Business,39000.0,669.0,570000,180,4600.0,Rural,0
LN1175,39,Married,2.0,Not Graduate,Self-Employed,64000.0,744.0,232000,180,8700.0,Semiurban,0
LN1176,53,Married,1.0,Graduate,Business,98000.0,679.0,1342000,60,11900.0,Semiurban,0
LN1177,39,Divorced,3.0,Not Graduate,Business,69500.0,628.0,1090000,84,21100.0,Semiurban,1
LN1178,36,Married,1.0,Graduate,Self-Employed,61000.0,900.0,1210000,36,10000.0,Rural,0
LN1179,40,Married,0.0,Graduate,Business,72000.0,647.0,862000,84,5000.0,Urban,0
LN1180,50,Married,2.0,Graduate,Salaried,99000.0,743.0,1878000,24,8800.0,Urban,0
LN1181,39,Divorced,1.0,Graduate,Salaried,100000.0,613.0,1512000,60,10300.0,Semiurban,1
LN1182,33,Married,0.0,Graduate,Salaried,93000.0,727.0,568000,36,66900.0,Urban,0
LN1183,48,Single,0.0,Graduate,Salaried,66000.0,654.0,364000,240,8600.0,Semiurban,0
LN1184,41,Single,2.0,Not Graduate,Salaried,101500.0,694.0,2105000,60,19000.0,Urban,0
LN1185,52,Single,0.0,Graduate,Salaried,80500.0,,1705000,84,3100.0,Rural,0
LN1186,39,Divorced,0.0,Graduate,Self-Employed,,736.0,1187000,60,10900.0,Rural,0
LN1187,25,Single,0.0,Not Graduate,Business,55000.0,724.0,1264000,36,21300.0,Semiurban,0
LN1188,23,Divorced,1.0,Graduate,Self-Employed,52500.0,546.0,1068000,36,6500.0,Rural,1
LN1189,54,Married,1.0,Graduate,Salaried,51500.0,862.0,932000,240,,Urban,0
LN1190,54,Single,1.0,Not Graduate,Self-Employed,71000.0,624.0,606000,180,6000.0,Semiurban,1
LN1191,35,Married,0.0,Not Graduate,Salaried,192000.0,851.0,4683000,36,33500.0,Urban,1
LN1192,33,Married,0.0,Graduate,Salaried,50000.0,781.0,861000,120,8600.0,Rural,0
LN1193,52,Single,1.0,Graduate,Salaried,74500.0,774.0,871000,60,7700.0,Rural,0
LN1194,26,Divorced,0.0,Graduate,Salaried,45000.0,632.0,450000,12,9500.0,Rural,1
LN1195,28,Single,1.0,Graduate,Salaried,45000.0,709.0,699000,84,12900.0,Rural,0
LN1196,43,Married,0.0,Graduate,Business,152000.0,685.0,604000,36,41900.0,Rural,0
LN1197,33,Married,0.0,Graduate,Self-Employed,37500.0,683.0,682000,36,16400.0,Urban,0
LN1198,37,Married,0.0,Graduate,Self-Employed,43000.0,668.0,356000,120,7800.0,Rural,0
LN1199,35,Married,1.0,Not Graduate,Salaried,23000.0,537.0,373000,36,7900.0,Semiurban,1
LN1200,40,Married,0.0,Graduate,Business,49000.0,777.0,533000,240,6200.0,Semiurban,0
LN1201,51,Married,2.0,Graduate,Self-Employed,27000.0,683.0,335000,120,12800.0,Semiurban,0
LN1202,38,Married,0.0,Graduate,Salaried,85500.0,685.0,809000,180,6900.0,Urban,0
LN1203,43,Single,1.0,Not Graduate,Self-Employed,176000.0,682.0,2294000,84,48900.0,Urban,0
LN1204,21,Married,1.0,Graduate,Salaried,44000.0,718.0,1115000,180,6700.0,Urban,0
LN1205,37,Divorced,0.0,Graduate,Salaried,28000.0,629.0,625000,60,3000.0,Urban,1
LN1206,29,Single,1.0,Graduate,Salaried,88500.0,545.0,1427000,84,7200.0,Semiurban,0
LN1207,25,Married,0.0,Graduate,Salaried,39000.0,723.0,540000,60,12700.0,Rural,0
LN1208,28,Married,,Graduate,Salaried,106000.0,756.0,2021000,240,9000.0,Semiurban,0
LN1209,34,Married,0.0,Not Graduate,Salaried,42500.0,687.0,883000,36,15700.0,Semiurban,1
LN1210,46,Divorced,2.0,Graduate,Salaried,50500.0,631.0,456000,84,14100.0,Semiurban,1
LN1211,24,Married,,Not Graduate,Unemployed,12500.0,585.0,169000,120,2100.0,Semiurban,1
LN1212,37,Married,0.0,Not Graduate,Salaried,72000.0,607.0,221000,60,32200.0,Urban,0
LN1213,32,Divorced,1.0,Graduate,Salaried,53500.0,628.0,1110000,180,14600.0,Rural,0
LN1214,34,Divorced,2.0,Graduate,Salaried,48000.0,649.0,1267000,60,2000.0,Urban,0
LN1215,47,Married,0.0,Graduate,Business,68500.0,770.0,992000,36,15700.0,Semiurban,0
LN1216,42,Married,2.0,Not Graduate,Self-Employed,24500.0,652.0,50000,84,6300.0,Rural,0
LN1217,50,Married,1.0,Graduate,Business,93500.0,682.0,1651000,60,13300.0,Semiurban,0
LN1218,35,Married,3.0,Graduate,Salaried,26000.0,839.0,223000,12,5300.0,Rural,0
LN1219,30,Married,3.0,Graduate,Salaried,47000.0,727.0,471000,24,12300.0,Urban,0
LN1220,35,Married,0.0,Not Graduate,Self-Employed,,718.0,1083000,36,11100.0,Rural,0
LN1221,39,Single,1.0,Graduate,Salaried,74000.0,691.0,1149000,120,9200.0,Semiurban,1
LN1222,39,Married,1.0,Graduate,Business,92500.0,,1024000,240,8100.0,Rural,0
LN1223,26,Single,0.0,Graduate,Business,59000.0,520.0,596000,84,23900.0,Semiurban,1
LN1224,38,Married,0.0,Not Graduate,Salaried,88500.0,795.0,1306000,24,13900.0,Rural,0
LN1225,39,Single,3.0,Graduate,Unemployed,31500.0,646.0,364000,84,8700.0,Rural,1
LN1226,62,Single,0.0,Graduate,,84000.0,711.0,617000,180,13200.0,Semiurban,0
LN1227,56,Single,1.0,Not Graduate,Salaried,93000.0,729.0,1116000,120,32700.0,Rural,0
LN1228,28,Divorced,2.0,Not Graduate,Salaried,65500.0,761.0,1050000,36,11000.0,Rural,0
LN1229,34,Married,0.0,Graduate,Salaried,49000.0,589.0,634000,24,18200.0,Semiurban,1
LN1230,22,Married,1.0,Graduate,Business,30500.0,622.0,168000,240,6500.0,Rural,0
LN1231,31,Married,3.0,Not Graduate,Salaried,57500.0,621.0,1146000,180,2500.0,Semiurban,0
LN1232,40,Married,1.0,Not Graduate,Salaried,67000.0,850.0,134000,24,8000.0,Semiurban,0
LN1233,49,Divorced,0.0,Graduate,Self-Employed,102000.0,783.0,1155000,180,19400.0,Urban,0
LN1234,30,Married,0.0,Graduate,Salaried,37000.0,530.0,380000,24,,Urban,1
LN1235,30,Single,3.0,Not Graduate,Salaried,30000.0,577.0,447000,24,10400.0,Rural,1
LN1236,21,Married,0.0,Not Graduate,Self-Employed,45000.0,664.0,782000,120,14600.0,Semiurban,0
LN1237,35,Married,1.0,Not Graduate,Salaried,47500.0,670.0,986000,84,10400.0,Semiurban,0
LN1238,26,Married,0.0,Graduate,Salaried,22500.0,582.0,219000,60,3100.0,Urban,1
LN1239,32,Single,,Graduate,Salaried,,858.0,1244000,240,4300.0,Semiurban,0
LN1240,28,Single,3.0,Not Graduate,Salaried,18500.0,702.0,281000,180,2000.0,Rural,0
LN1241,36,Married,1.0,Not Graduate,Salaried,31500.0,733.0,118000,24,3600.0,Rural,0
LN1242,21,Married,3.0,Not Graduate,Self-Employed,69500.0,631.0,1766000,84,8800.0,Urban,1
LN1243,22,Single,0.0,Graduate,Unemployed,40500.0,656.0,217000,120,6100.0,Semiurban,1
LN1244,58,Married,1.0,Graduate,Salaried,42500.0,695.0,702000,84,3600.0,Semiurban,0
LN1245,24,Divorced,2.0,Not Graduate,Unemployed,12000.0,556.0,196000,360,2700.0,Semiurban,1
LN1246,26,Married,1.0,Graduate,Self-Employed,49000.0,726.0,767000,120,2400.0,Semiurban,0
LN1247,55,Married,0.0,Not Graduate,Self-Employed,120000.0,604.0,1324000,24,11800.0,Semiurban,0
LN1248,65,Married,2.0,Graduate,Self-Employed,54500.0,837.0,1034000,36,9200.0,Semiurban,0
LN1249,25,Married,0.0,Graduate,,38000.0,687.0,176000,180,3100.0,Semiurban,0
LN1250,33,Married,1.0,Not Graduate,Business,110000.0,800.0,1497000,360,6100.0,Semiurban,0
LN1251,40,Married,3.0,Graduate,Salaried,54000.0,632.0,573000,24,23800.0,Semiurban,0
LN1252,54,Divorced,0.0,Graduate,Salaried,103500.0,671.0,1028000,24,22800.0,Rural,0
LN1253,27,Married,0.0,Graduate,Salaried,27500.0,599.0,456000,120,3400.0,Rural,1
LN1254,35,Married,0.0,Graduate,Salaried,56500.0,728.0,1156000,24,18400.0,Urban,0
LN1255,45,Married,0.0,Graduate,Self-Employed,26500.0,689.0,316000,24,8700.0,Rural,0
LN1256,41,Married,0.0,Graduate,Salaried,39000.0,,729000,240,7200.0,Rural,0
LN1257,33,Single,2.0,Not Graduate,Salaried,72000.0,637.0,1029000,180,19500.0,Urban,1
LN1258,36,Married,0.0,Graduate,Salaried,60500.0,617.0,523000,240,6400.0,Semiurban,0
LN1259,23,Single,1.0,Graduate,Salaried,46000.0,690.0,573000,120,9800.0,Urban,0
LN1260,35,Married,0.0,Graduate,Self-Employed,37000.0,647.0,452000,60,11400.0,Semiurban,1
LN1261,34,Divorced,0.0,Graduate,Self-Employed,47000.0,635.0,462000,240,7100.0,Urban,1
LN1262,39,Married,0.0,Graduate,,74000.0,835.0,1226000,36,32300.0,Semiurban,0
LN1263,31,Single,2.0,Graduate,Salaried,94000.0,711.0,1448000,36,11500.0,Urban,0
LN1264,42,Married,1.0,Graduate,Salaried,18500.0,786.0,82000,240,,Semiurban,0
LN1265,47,Married,0.0,Graduate,Salaried,46000.0,676.0,188000,120,5800.0,Rural,0
LN1266,39,Single,2.0,Not Graduate,Self-Employed,47500.0,709.0,786000,240,7200.0,Semiurban,0
LN1267,41,Single,1.0,Graduate,Self-Employed,53500.0,691.0,487000,36,3800.0,Rural,0
LN1268,38,Single,0.0,Graduate,Salaried,76500.0,591.0,1210000,360,15000.0,Rural,0
LN1269,37,Married,3.0,Not Graduate,Salaried,57000.0,818.0,1065000,84,14200.0,Rural,0
LN1270,30,Single,0.0,Not Graduate,Unemployed,13000.0,574.0,83000,120,1800.0,Urban,1
LN1271,40,Single,0.0,Graduate,,43000.0,746.0,238000,240,19500.0,Rural,1
LN1272,36,Single,1.0,Graduate,Salaried,55000.0,653.0,1323000,60,13500.0,Urban,0
LN1273,58,Married,0.0,Graduate,Salaried,131500.0,736.0,2118000,120,4100.0,Semiurban,0
